mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.008364272117614747,0.0010989291351619903,0.005385804176330567,0.0010405040348322027,3,2,"{'max_depth': 3, 'min_samples_split': 2}",0.40701551566221106,0.6054687187762953,0.35996193187376635,0.630218840849381,0.35218878048493296,0.5335255946609658,0.5091300948647586,0.6569634004196417,0.6390251190024191,0.5508676162884202,0.5244365612882793,0.10953282825004809,10
0.009435820579528808,0.0014144780069600801,0.005311655998229981,0.0007140631432921572,3,5,"{'max_depth': 3, 'min_samples_split': 5}",0.40701551566221106,0.6054687187762953,0.35996193187376635,0.630218840849381,0.35218878048493296,0.5335255946609658,0.5091300948647586,0.6569634004196417,0.6390251190024191,0.5508676162884202,0.5244365612882793,0.10953282825004809,10
0.00881497859954834,0.0009712155340416957,0.0050422906875610355,0.000580823640088538,3,10,"{'max_depth': 3, 'min_samples_split': 10}",0.40701551566221106,0.6054687187762953,0.35996193187376635,0.630218840849381,0.35218878048493296,0.5335255946609658,0.5091300948647586,0.6569634004196417,0.6390251190024191,0.5508676162884202,0.5244365612882793,0.10953282825004809,10
0.010005831718444824,0.00042387629467498684,0.0050873994827270504,0.0002773688515638578,5,2,"{'max_depth': 5, 'min_samples_split': 2}",0.3384903885262919,0.7371239976706386,0.5667318624215156,0.8214938237011182,0.5036756933728943,0.6011146656052475,0.6740670471551251,0.7498543345056051,0.818589652687367,0.7302246461754933,0.6541366111821297,0.1449174186037196,9
0.00939953327178955,0.001777779735416578,0.0045994043350219725,0.0011484503624149417,5,5,"{'max_depth': 5, 'min_samples_split': 5}",0.3741979054516177,0.7371239976706386,0.6213257581988294,0.8214938237011182,0.5036756933728943,0.6011146656052473,0.6656885675423934,0.7498543345056051,0.818589652687367,0.7302246461754933,0.6623289044911205,0.1346275506445425,7
0.010078692436218261,0.0003607222116428964,0.004909706115722656,0.00039621443349649,5,10,"{'max_depth': 5, 'min_samples_split': 10}",0.38345022573816545,0.7371239976706386,0.608883744154656,0.813063946161927,0.4987854684218377,0.5814233303894307,0.6477157628055543,0.7650456339929314,0.8140015450010261,0.7343853692778697,0.6583879023614037,0.13455218624314724,8
0.013355040550231933,0.0005806564201764551,0.005119585990905761,0.0005344447415610564,10,2,"{'max_depth': 10, 'min_samples_split': 2}",0.5902422677800896,0.8215772034391409,0.7550414368378184,0.7935448095074087,0.6133265956191692,0.674318925057528,0.8005386752802506,0.8036363941070221,0.8159518588223127,0.7292892688515719,0.7397467435302312,0.08132216795099337,2
0.0125152587890625,0.0004813830031539157,0.005024933815002441,0.00046353092740857157,10,5,"{'max_depth': 10, 'min_samples_split': 5}",0.5318445560960412,0.7975880560367933,0.6393483535847504,0.8343945603591266,0.584886449340954,0.6824051939360304,0.818440927829818,0.8424332558787555,0.8119443744221689,0.7405264258056465,0.7283812153290086,0.10655298911414435,5
0.011496901512145996,0.0002949973466032415,0.005313301086425781,0.0012780555133899984,10,10,"{'max_depth': 10, 'min_samples_split': 10}",0.5211407584592815,0.7706562320651176,0.6921461399339464,0.8143678724939496,0.5924907891647805,0.652397047135657,0.7558207105622657,0.8377634072891792,0.7945849121067623,0.7472621856791261,0.7178630054890066,0.09697048756437016,6
0.014177966117858886,0.000482372049863844,0.005081319808959961,0.00030330667089715905,,2,"{'max_depth': None, 'min_samples_split': 2}",0.5700875159933187,0.8249125984007823,0.6384981833123397,0.7926208284264273,0.6382773356570905,0.7199326585539956,0.753368066263937,0.8090078044525553,0.8005215895413946,0.7419123062167519,0.7289138886818592,0.0820246633290888,4
0.013429594039916993,0.001126193909391092,0.005071473121643066,0.0004111851178774384,,5,"{'max_depth': None, 'min_samples_split': 5}",0.5426154594025571,0.8125672247144484,0.6852889018125132,0.8230001478967479,0.6215282974495699,0.7404054441623824,0.8105101932817169,0.8448393888664733,0.7962151506791794,0.7754467856986087,0.7452416993964197,0.09394122893953029,1
0.011855077743530274,0.0004275589674379864,0.005050110816955567,0.00048236362412701665,,10,"{'max_depth': None, 'min_samples_split': 10}",0.508372569104725,0.7735818445590956,0.7133245551785194,0.8171591174233119,0.6474772852136197,0.6947714689304607,0.766450769737246,0.8377634072891792,0.7897556742092917,0.7617492938050661,0.7310405985450515,0.09189856676601045,3
