Model,Training RMSE,Test RMSE,Training R²,Test R²
"Baseline (max_depth=None, min_samples_split=2)",1.7652056078443961e-15,40.6944843021363,1.0,0.778725028935884
"max_depth=3, min_samples_split=2",55.744987007127634,61.09684278720522,0.6245574393729264,0.5185158733541855
"max_depth=5, min_samples_split=2",37.902781656707894,47.560869719673605,0.8260024425182863,0.7005503930145982
"max_depth=10, min_samples_split=2",12.478881748919852,38.97339410465497,0.9807247974957045,0.795592199308947
"Best Model (max_depth=None, min_samples_split=5)",10.425616395581557,38.72109932580556,0.9868015991198087,0.7976136036867063
