Model,Training RMSE,Test RMSE,Training R²,Test R²
"k=3, uniform",29.502089179531765,42.919967071166454,0.8899171648893625,0.7556874846292913
"k=5, uniform",34.43783277750961,42.8329950654971,0.849976548438519,0.7547494871850214
"k=7, uniform",37.51688367561382,43.721356207620204,0.8219409771714827,0.7432943272153378
"k=9, uniform",39.60166333366489,44.30001096576895,0.8016132054944315,0.7377607859941675
"k=3, distance",0.0,41.369460658588636,1.0,0.7727298734226422
"k=5, distance",0.0,40.366874822364565,1.0,0.78225148608714
"k=7, distance",0.0,40.60754364450667,1.0,0.7780567960385523
"k=9, distance",0.0,40.990792588420064,1.0,0.7741346713168108
